country,date,gdp_growth
Canada,2023,1.06599445256434
Canada,2022,3.81986633913397
Canada,2021,5.28695689105889
Canada,2020,-5.03823344128351
Canada,2019,1.9084319253883
Canada,2018,2.74296343112555
Canada,2017,3.03383490260789
Canada,2016,1.03855093491798
Canada,2015,0.649970993709132
Canada,2014,2.87346677184995
Canada,2013,2.32581357393478
Canada,2012,1.75566132540601
Canada,2011,3.13719438973661
Canada,2010,3.09080637403602
Canada,2009,-2.91508623949733
Canada,2008,0.995406309993598
Canada,2007,2.04990461109004
Canada,2006,2.6379438004107
Canada,2005,3.21045435651203
Canada,2004,3.09236383456562
Canada,2003,1.80638513484521
Canada,2002,2.9992553495694
Canada,2001,1.87509813216803
Canada,2000,5.13853918593026
Canada,1999,5.14100348008584
Canada,1998,3.89288652990767
Canada,1997,4.28016686255228
Canada,1996,1.68896120754063
Canada,1995,2.68232830305229
Canada,1994,4.49404924349821
Canada,1993,2.65770688317689
Canada,1992,0.89046625458775
Canada,1991,-2.09105517930676
Canada,1990,0.2029478627489
Canada,1989,2.33732974637616
Canada,1988,4.41083906825777
Canada,1987,4.07201575870543
Canada,1986,2.12148084096071
Canada,1985,4.73768079281562
Canada,1984,5.89856942508391
Canada,1983,2.56225359813259
Canada,1982,-3.16615026657753
Canada,1981,3.41506525537372
Canada,1980,2.17719916021221
Canada,1979,3.72519941490059
Canada,1978,3.73597637206475
Canada,1977,3.53482670608555
Canada,1976,5.88927582682931
Canada,1975,1.54540334609872
Canada,1974,3.35777597165226
Canada,1973,6.72864138845117
Canada,1972,5.51967006527914
Canada,1971,4.01884493451227
Canada,1970,2.91871324193951
Canada,1969,5.06703244864089
Canada,1968,5.00827408049702
Canada,1967,3.06542082002188
Canada,1966,6.75968985492175
Canada,1965,6.31720020530724
Canada,1964,6.65599974032362
Canada,1963,5.29744024171539
Canada,1962,7.42783693388429
Canada,1961,3.16329168371286
Mexico,2023,3.22873675559163
Mexico,2022,3.94899999903839
Mexico,2021,5.73920833768318
Mexico,2020,-8.62455573080136
Mexico,2019,-0.251335754924085
Mexico,2018,1.97208209405635
Mexico,2017,1.87172853327193
Mexico,2016,1.77249323845399
Mexico,2015,2.70232342550646
Mexico,2014,2.50376350288664
Mexico,2013,0.852101559410627
Mexico,2012,3.55321075993527
Mexico,2011,3.44404505794418
Mexico,2010,4.9713345832195
Mexico,2009,-6.29525055780502
Mexico,2008,0.943331863036903
Mexico,2007,2.07786393438754
Mexico,2006,4.80501352746852
Mexico,2005,2.11324712586392
Mexico,2004,3.56544100946846
Mexico,2003,1.18554486709559
Mexico,2002,-0.236588001922641
Mexico,2001,-0.450845253215945
Mexico,2000,5.02928399378261
Mexico,1999,2.75503039300564
Mexico,1998,6.18507893082885
Mexico,1997,7.19887615284711
Mexico,1996,6.21829715869302
Mexico,1995,-5.91029962358286
Mexico,1994,4.39412788764169
Mexico,1993,2.86699945461075
Mexico,1992,3.56861354412243
Mexico,1991,3.97590497138043
Mexico,1990,5.25004329944582
Mexico,1989,3.62544873456009
Mexico,1988,1.21826122938586
Mexico,1987,2.06336322631584
Mexico,1986,-3.92995990782299
Mexico,1985,1.91921578613494
Mexico,1984,3.51341334932273
Mexico,1983,-4.62412795987231
Mexico,1982,-0.0495863656386035
Mexico,1981,9.58584115454994
Mexico,1980,8.75662242586299
Mexico,1979,9.69817013704164
Mexico,1978,8.95694232786374
Mexico,1977,3.39063970657743
Mexico,1976,4.41744413625752
Mexico,1975,5.74448504862441
Mexico,1974,5.77682723020637
Mexico,1973,7.86111986064981
Mexico,1972,8.22880731243893
Mexico,1971,3.76246768496019
Mexico,1970,6.50248403469436
Mexico,1969,3.41862002350011
Mexico,1968,9.42327881831997
Mexico,1967,5.85492487898533
Mexico,1966,6.09613930256354
Mexico,1965,7.09999999746465
Mexico,1964,11.9054807657771
Mexico,1963,8.10688692762891
Mexico,1962,4.6644146725129
Mexico,1961,5.00000000071891
United States,2023,2.54270029878489
United States,2022,1.93549589483209
United States,2021,5.8002061284573
United States,2020,-2.21346933290643
United States,2019,2.46703756313913
United States,2018,2.96650507100425
United States,2017,2.45762230356996
United States,2016,1.81945147474293
United States,2015,2.94555045455233
United States,2014,2.52381981441982
United States,2013,2.11783009919846
United States,2012,2.28911338767897
United States,2011,1.56440685438301
United States,2010,2.6951925838264
United States,2009,-2.57650023426996
United States,2008,0.113587248258867
United States,2007,2.00385829825838
United States,2006,2.78453963938148
United States,2005,3.483549937943
United States,2004,3.84777169205226
United States,2003,2.795605965883
United States,2002,1.70044732363073
United States,2001,0.955538346430316
United States,2000,4.07758575804293
United States,1999,4.78842505322162
United States,1998,4.48313334577439
United States,1997,4.44712794186451
United States,1996,3.7727726858688
United States,1995,2.68443073540719
United States,1994,4.02902272904724
United States,1993,2.75179586183873
United States,1992,3.52249718409405
United States,1991,-0.108312888962658
United States,1990,1.8859655853434
United States,1989,3.67223783573645
United States,1988,4.17698239778066
United States,1987,3.45462966457823
United States,1986,3.46265505318908
United States,1985,4.1695753468006
United States,1984,7.23645315874113
United States,1983,4.58379098591793
United States,1982,-1.80301378770601
United States,1981,2.53770126730302
United States,1980,-0.256775732470302
United States,1979,3.16598822881279
United States,1978,5.53520647829761
United States,1977,4.62418651704209
United States,1976,5.38803389552226
United States,1975,-0.205619192613284
United States,1974,-0.540550186726477
United States,1973,5.64567976588816
United States,1972,5.25550195050253
United States,1971,3.29272245508689
United States,1970,0.21660649819502
United States,1969,3.09999999999999
United States,1968,4.79999999999954
United States,1967,2.49999999999999
United States,1966,6.50000000000026
